RK,NAME,TEAM,POS,GMS,PASSING_YDS,PASSING_TD,INT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,REC_YDS,REC_TD,FUM LST,PPG,FPTS
286,Keith Kirkwood,NO,WR,8,0,0,0,0,0,13,209,2,0,5.7,45.9
286,Martavis Bryant,OAK,WR,8,0,0,0,23,0,19,266,0,1,5.7,45.9
288,James O'Shaughnessy,JAX,TE,14,0,0,0,0,0,24,214,0,0,3.2,45.4
289,Ed Dickson O,SEA,TE,10,0,0,0,9,0,12,143,3,0,4.5,45.2
290,Wayne Gallman,NYG,RB,15,0,0,0,176,1,14,89,0,1,3,44.5
291,Jeffery Wilson,SF,RB,6,0,0,0,266,0,12,98,0,2,7.4,44.4
292,Nick Boyle,BAL,TE,16,0,0,0,0,0,23,213,0,0,2.8,44.3
293,James Washington,PIT,WR,14,0,0,0,0,0,16,217,1,0,3.1,43.7
294,Luke Stocker,TEN,TE,16,0,0,0,0,0,15,165,2,0,2.7,43.5
295,Jay Ajayi,PHI,RB,4,0,0,0,184,3,5,20,0,1,10.8,43.4
296,James Develin,NE,RB,16,0,0,0,8,4,12,61,0,0,2.7,42.9
297,Deandre Carter,HOU,WR,14,0,0,0,7,0,22,216,0,1,3,42.3
298,Lance Kendricks,GB,TE,16,0,0,0,0,0,19,170,1,0,2.6,42
299,Bennie Fowler,NYG,WR,10,0,0,0,0,0,16,199,1,0,4.2,41.9
300,Tyrod Taylor,CLE,QB,4,473,2,2,125,1,0,0,0,0,10.4,41.42
